Treatment,LightSetting,Individual,Sex,correct,wrong,total,proportioncorr
Herato390,a 1:15 (hard),5.9F,female,8,6,14,0.571428571
Herato390,b 1:1 (equal),5.9F,female,6,7,13,0.461538462
Herato390,c 15:1 (easy),5.9F,female,10,0,10,1
Herato390,a 1:15 (hard),5.10F,female,6,6,12,0.5
Herato390,b 1:1 (equal),5.10F,female,8,4,12,0.666666667
Herato390,c 15:1 (easy),5.10F,female,6,6,12,0.5
Herato390,a 1:15 (hard),5.11M,male,6,10,16,0.375
Herato390,b 1:1 (equal),5.11M,male,7,8,15,0.466666667
Herato390,c 15:1 (easy),5.11M,male,5,5,10,0.5
Herato390,a 1:15 (hard),6.1M ,male,3,8,11,0.272727273
Herato390,b 1:1 (equal),6.1M ,male,6,5,11,0.545454546
Herato390,c 15:1 (easy),6.1M ,male,9,2,11,0.818181818
Herato390,a 1:15 (hard),6.2F,female,6,5,11,0.545454546
Herato390,b 1:1 (equal),6.2F,female,7,3,10,0.7
Herato390,c 15:1 (easy),6.2F,female,8,3,11,0.727272727
Herato390,a 1:15 (hard),6.4M,male,5,8,13,0.384615385
Herato390,b 1:1 (equal),6.4M,male,6,7,13,0.461538462
Herato390,c 15:1 (easy),6.4M,male,7,4,11,0.636363636
